Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 233, 669
4, 4096, 1936, 4821
4, 32768, 15774, 38017
4, 262144, 103207, 303557
4, 2097152, 766784, 2410772
8, 512, 305, 747
8, 4096, 3103, 5476
8, 32768, 24734, 43216
8, 262144, 149968, 345394
8, 2097152, 1150453, 2763224
12, 512, 419, 828
12, 4096, 3474, 6094
12, 32768, 30808, 49200
12, 262144, 201573, 393413
12, 2097152, 1574199, 3147186
16, 512, 793, 881
16, 4096, 4597, 6762
16, 32768, 37027, 54718
16, 262144, 248833, 437413
16, 2097152, 1944080, 3499587
