Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 192, 652
4, 4096, 2340, 4742
4, 32768, 16795, 37426
4, 262144, 99833, 302668
4, 2097152, 748104, 2420941
8, 512, 306, 736
8, 4096, 3060, 5475
8, 32768, 25348, 43321
8, 262144, 149400, 346362
8, 2097152, 1160338, 2805241
12, 512, 412, 834
12, 4096, 3837, 6077
12, 32768, 27983, 48370
12, 262144, 198755, 386676
12, 2097152, 1544321, 3093268
16, 512, 695, 871
16, 4096, 4263, 6459
16, 32768, 34704, 51151
16, 262144, 247852, 434374
16, 2097152, 1942785, 3474193
