Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 225, 630
4, 4096, 2259, 4752
4, 32768, 18417, 37628
4, 262144, 99085, 300567
4, 2097152, 740602, 2404116
8, 512, 302, 752
8, 4096, 3417, 5520
8, 32768, 20987, 42297
8, 262144, 146967, 337831
8, 2097152, 1137880, 2702155
12, 512, 484, 810
12, 4096, 3344, 5904
12, 32768, 30371, 46720
12, 262144, 196120, 373228
12, 2097152, 1526206, 3153387
16, 512, 524, 907
16, 4096, 4764, 6910
16, 32768, 33828, 54989
16, 262144, 247261, 439244
16, 2097152, 1931658, 3381247
