num_clusters,num_points,sw_time,hw_time
8,512,305.0,739.6666666666666
8,4096,3076.1666666666665,5624.833333333333
8,32768,23296.333333333332,42802.833333333336
8,262144,149501.16666666666,342018.5
8,2097152,1151571.0,2744927.0
