Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 192, 648
4, 4096, 2115, 4704
4, 32768, 17593, 37110
4, 262144, 101266, 296316
4, 2097152, 738572, 2378141
8, 512, 299, 737
8, 4096, 3116, 5407
8, 32768, 20795, 42637
8, 262144, 147580, 340616
8, 2097152, 1139246, 2724678
12, 512, 410, 824
12, 4096, 4237, 6175
12, 32768, 30154, 48993
12, 262144, 195417, 390856
12, 2097152, 1540448, 3142308
16, 512, 518, 911
16, 4096, 8646, 6888
16, 32768, 32832, 52116
16, 262144, 246915, 416276
16, 2097152, 1922907, 3330283
